puzzle_id,generator_clue_density,generator_wall_density,generator_turn_bias,generator_symmetry_bias,generator_path_wiggle_factor,generator_clue_spacing_bias,rows,cols,clues,walls,corner_clue_count,edge_clue_count,center_clue_count,clue_spacing_entropy,turn_count,path_self_proximity,mean_path_self_proximity,wall_density,clue_heatmap_entropy,reflection_symmetry,rotational_symmetry,overall_symmetry,solver_nodes_visited,solver_backtracks,average_branching_factor,solution_count,player_solve_rate,player_avg_time,player_hint_rate,player_like_score,enjoyment_score,difficulty_rating,hint_count,solve_time_seconds,completed
10-6,,,,,,,7,7,6,16,0,2,4,2.066689,18,1,4.822695,0.190476,1.918296,0.909091,1,0.954545,15275,11342,2.000239,1,,,,,1,,,,
11-6,,,,,,,7,7,11,10,4,0,7,3.136842,28,1,4.822695,0.119048,1.936260,0.809524,1,0.904762,1320,896,2.055961,1,,,,,1,,,,
12-6,,,,,,,7,7,9,10,4,0,5,2.938722,24,1,4.822695,0.119048,1.836592,0.526316,0.473684,0.500000,11653,7435,2.180750,1,,,,,1,,,,
13-6,,,,,,,6,6,6,0,0,4,2,2.135489,15,1,4.176471,0,1.918296,0,1,0.500000,77152,49084,2.126686,1,,,,,1,,,,
14-6,,,,,,,8,8,16,12,0,0,16,3.039796,30,1,5.473118,0.107143,2,0.714286,1,0.857143,15032,10577,2.090072,1,,,,,1,,,,
15-6,,,,,,,6,6,6,17,2,2,2,1.918951,11,1,4.176471,0.283333,1.918296,0.608696,0.608696,0.608696,88,62,2.086957,1,,,,,1,,,,
6-6,,,,,,,8,8,14,12,0,10,4,3.156305,35,1,5.473118,0.107143,1.863121,0.384615,1,0.692308,62663,37921,2.190609,1,,,,,1,,,,
7-6,,,,,,,7,7,12,12,0,0,12,2.642618,23,1,4.822695,0.142857,2,0.666667,1,0.833333,3491,2654,2.059569,1,,,,,1,,,,
8-6,,,,,,,6,6,10,15,1,4,5,2.749277,18,1,4.176471,0.250000,1.970951,0.680000,0.480000,0.580000,103,69,2.434783,1,,,,,1,,,,
9-6,,,,,,,6,6,6,8,2,4,0,2.149495,23,1,4.176471,0.133333,1.918296,1,0.571429,0.785714,3503,2397,2,1,,,,,1,,,,
